numbering,type,gender,age,residence,income,edu_lvl,profession,household_size,dri_lic,num_cars,purpose1,purpose2,purpose3,purpose4,purpose5,self_drive,other_drive,pub_trans,bicycle,walking,frequency_travel,planned_travel_time,attraction_type1,attraction_type2,attraction_type3,daily_t,daily_d,exp_lvl,num_phones,if_connected_network,stability_network,daily_phone_use_t,frequency_phone_use,daily_devices_use_t,device_proficiency,value_e_devices1,value_e_devices2,value_e_devices3,value_e_devices4,value_e_devices5,value_e_devices6,value_e_devices7,value_e_devices8,value_e_devices9,value_e_devices10,travel_safety1,travel_safety2,travel_safety3,travel_safety4,travel_safety5,travel_safety6,travel_safety7,sati_lvl,prss_allevi,hlt_impro,ta_envi1,ta_envi2,ta_envi3,ta_envi4,ta_envi5,ta_envi6,r_envi1,r_envi2,r_envi3,r_envi4,r_envi5
103,online,0,2,0,2,4,1,2,1,1,1,0,0,0,0,0,1,1,0,0,1,2,0,1,1,5,3,4,1,1,2,3,2,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,2,2,4,4,3,1,2,3,3,3,3,3
104,online,1,2,0,2,4,1,2,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,5,1,5,1,1,3,1,2,6,4,5,5,5,5,5,4,4,3,4,5,4,5,2,3,3,2,5,5,5,5,5,5,5,4,4,4,2,2,4,3,1
106,on-site,1,1,1,1,2,1,5,0,1,0,0,0,0,1,0,1,0,0,0,2,5,1,0,0,4,1,4,1,1,3,3,3,1,3,4,4,3,4,4,3,5,3,2,3,1,3,3,3,4,2,4,4,3,5,5,5,4,4,2,3,3,3,4,3,3
107,on-site,0,3,0,1,3,1,2,1,2,0,1,0,0,0,1,0,0,0,0,3,3,1,1,1,5,4,5,1,1,2,3,1,4,4,3,5,4,3,1,3,4,2,2,2,4,4,4,2,1,1,4,5,3,3,5,4,4,4,3,3,3,2,4,4,4
108,on-site,1,2,1,2,2,1,7,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,2,5,1,1,2,1,2,1,4,4,4,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,2,2,5,2,2
109,on-site,1,1,1,NA,1,1,4,0,0,0,0,0,0,1,0,0,0,0,1,5,5,0,0,1,1,1,2,1,1,3,4,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5
110,on-site,1,2,1,2,3,0,5,0,0,1,0,0,0,0,0,1,0,0,0,5,5,0,0,1,5,1,4,1,1,3,2,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,5,4,5,4,5,5,5,4,3,4,3
111,on-site,1,3,1,2,3,0,4,1,2,1,0,0,0,0,1,0,0,0,0,5,5,1,0,0,2,1,3,1,1,3,2,2,1,3,3,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,4,2,2,2,2,2
112,on-site,1,1,1,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,1,5,2,0,0,1,2,2,4,1,1,3,3,2,2,4,4,3,3,3,3,3,3,4,4,4,5,5,5,5,5,4,4,4,4,4,5,5,4,4,4,4,3,3,4,3,3
113,on-site,0,3,1,2,3,0,NA,0,1,0,1,0,0,0,0,1,0,0,0,2,2,1,0,0,2,2,4,1,1,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,4,4,5,3,4,4,3,3,3,3,2,2,2
114,on-site,0,2,1,3,1,1,7,0,1,0,0,0,1,0,0,0,1,0,0,5,1,1,0,0,5,2,5,1,1,2,4,3,6,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,5
115,on-site,1,2,1,3,3,0,3,1,1,0,0,0,1,0,0,1,0,0,0,5,5,0,1,0,3,3,3,1,1,3,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,1,4,4,4,4,4
116,on-site,1,2,1,2,2,1,6,0,0,0,0,0,1,0,0,0,0,0,1,5,5,0,0,1,3,1,3,4,0,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,3,2,2,2,2,2
117,on-site,0,1,1,1,1,1,9,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,5,3,0,2,1,1,1,4,5,5,5,5,2,5,3,4,5,1,5,5,5,4,5,5,5,4,1,5,5,5,5,4,5,5,2,1,5,4,5
118,on-site,1,1,1,1,2,1,5,0,2,1,0,0,0,0,0,1,0,0,0,5,5,0,1,0,2,1,4,1,1,3,2,2,2,3,4,4,4,4,5,5,5,4,4,4,4,4,5,4,3,3,5,5,5,4,5,4,4,3,3,4,2,2,3,4,3
119,on-site,1,2,1,1,3,1,4,0,1,1,0,0,0,0,0,0,1,0,0,5,5,1,0,1,2,2,3,1,1,3,3,1,6,4,4,4,4,3,4,5,5,4,3,4,3,3,3,2,2,2,5,5,5,5,5,5,4,5,5,5,1,1,1,1,1
120,on-site,1,2,1,1,3,1,11,0,2,1,0,0,0,0,1,0,0,0,0,5,3,1,1,1,5,5,5,1,1,2,2,3,1,4,3,3,3,5,5,3,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5
121,on-site,1,1,1,1,2,1,4,0,0,0,0,0,0,1,0,0,1,0,0,5,5,0,1,0,1,1,4,1,0,2,1,2,1,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4
122,on-site,1,1,1,1,1,1,5,0,4,1,0,0,0,0,0,1,0,0,0,5,5,0,1,1,1,1,3,1,1,2,1,2,6,4,5,3,2,1,5,5,5,1,1,1,5,5,1,1,5,1,5,5,1,5,5,5,1,1,5,5,1,1,1,1,1
123,on-site,1,2,1,2,2,1,6,1,1,1,0,0,0,0,0,1,0,0,0,5,5,1,0,0,2,2,5,1,1,2,3,3,2,3,2,5,2,1,5,5,5,5,5,1,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,3,5,5
124,on-site,0,1,1,2,1,1,4,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,1,1,1,5,1,1,3,1,1,1,4,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,2,3,2,2,2
125,on-site,0,2,1,1,2,1,4,0,1,1,0,0,0,0,0,0,0,0,1,5,5,0,0,1,2,1,4,1,1,3,2,2,1,4,3,4,3,3,3,4,5,5,3,3,4,5,3,3,5,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,4
126,on-site,0,2,1,3,3,1,4,1,1,0,0,0,1,0,0,1,0,0,0,5,5,1,1,1,2,2,5,1,1,3,3,3,6,4,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,5,5,4,4,5,4,3,3,3,3,3
128,on-site,1,2,1,1,3,1,6,0,1,0,1,0,0,0,0,0,1,0,0,5,5,0,0,1,5,2,4,1,1,3,3,2,1,4,4,3,4,4,4,3,4,4,3,3,4,4,3,3,2,2,3,4,4,3,4,3,3,4,3,3,3,4,3,3,3
129,on-site,1,3,0,2,4,0,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,4,4,1,1,3,1,1,6,4,3,5,5,5,3,4,5,3,3,3,5,4,4,3,4,3,4,4,5,5,4,4,4,5,5,4,3,3,4,4,4
130,on-site,1,1,1,1,1,1,3,0,1,0,0,0,0,1,0,1,0,0,0,5,5,1,0,0,2,1,5,1,0,3,1,2,2,3,4,4,4,4,3,5,5,5,3,3,5,3,4,4,5,4,5,5,4,5,3,3,3,4,4,3,3,3,4,4,3
131,on-site,1,3,0,2,3,0,4,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,2,3,1,0,3,3,3,2,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,4,3,5,5,4,4,4,4,5,4,5,4,4,3,3,3,3
132,on-site,0,3,0,2,3,0,5,1,2,1,0,0,0,0,0,1,1,0,1,1,2,1,1,1,3,5,5,1,1,2,3,2,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,2,1,3,2,2
133,on-site,0,5,0,1,2,1,8,0,1,1,0,0,0,0,0,1,0,0,0,1,4,1,0,1,1,2,5,1,1,3,3,2,6,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,4
134,on-site,1,3,0,2,3,0,3,1,1,1,0,0,0,0,0,0,1,0,0,1,3,0,1,1,2,1,5,2,1,2,3,3,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,3,3,3,3
135,on-site,1,2,0,2,3,1,4,0,2,1,0,0,0,0,0,0,1,0,1,NA,1,0,0,1,3,1,4,2,1,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,4,4,4,5,4,4,4,4,4,4
136,on-site,1,4,0,4,4,0,6,1,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,3,3,4,2,1,3,3,3,2,4,5,5,5,3,5,5,5,4,4,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,3,3,4,5,3
137,on-site,0,5,0,3,3,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,2,2,3,1,1,2,4,2,NA,3,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,4,4,5,5,5,5,5,3,4,5,4,4,4
138,on-site,0,2,0,5,4,0,4,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,3,4,4,1,1,2,4,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,4,4,3,4,4,4,3,3,3
139,on-site,1,3,0,4,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,2,4,1,1,3,2,3,NA,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,5,2,1,4,4,4,NA,4
140,on-site,1,2,0,2,3,1,4,0,3,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,5,5,4,2,1,2,4,3,6,4,5,5,5,5,5,5,4,4,2,1,4,5,5,4,3,3,5,4,5,4,5,5,5,5,3,3,3,4,4,3,1
141,on-site,0,1,0,1,1,1,7,0,3,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,4,5,5,1,1,3,2,2,6,4,4,4,4,4,5,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,3,2,2,2,2
142,on-site,1,3,0,3,3,0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,4,2,5,3,1,2,4,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,1,1
144,on-site,0,3,NA,3,3,1,6,1,1,1,0,0,0,0,1,0,0,0,0,3,3,0,0,1,2,2,4,3,1,2,2,3,3,3,5,5,4,4,5,4,5,4,4,4,5,5,4,5,4,5,5,5,4,4,5,4,4,4,4,5,3,3,4,3,3
145,on-site,1,3,1,2,3,1,3,0,0,0,0,0,1,0,0,0,1,0,0,4,4,0,1,1,3,2,5,2,1,2,3,2,6,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3
146,on-site,1,2,1,2,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,5,5,1,1,1,4,2,5,2,1,3,4,3,1,4,4,3,5,5,5,5,4,3,3,4,5,4,3,3,3,2,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3
147,on-site,1,2,0,3,3,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,1,1,2,5,2,1,2,4,3,2,4,4,5,5,3,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,3,4,4,3,1
148,on-site,1,3,0,4,3,0,3,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,5,5,4,1,1,3,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
149,on-site,0,3,1,3,1,1,3,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,4,5,4,1,1,3,4,3,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,3,3,3,3
150,on-site,1,3,0,3,3,1,3,1,1,1,0,0,0,0,0,1,0,0,0,1,3,1,0,1,5,2,5,1,1,3,4,3,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,3
151,on-site,1,2,1,3,3,0,11,0,3,1,0,0,0,0,0,0,1,0,0,5,5,0,0,1,2,1,5,2,1,3,3,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
152,on-site,1,2,0,3,1,1,6,0,0,0,1,0,0,0,1,0,0,0,0,5,5,1,0,0,1,1,4,1,1,3,2,2,6,4,2,3,3,3,3,3,2,4,4,3,4,3,3,4,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4
153,on-site,1,1,1,1,2,1,4,0,0,0,0,0,0,1,0,0,1,0,0,5,5,0,0,1,2,2,3,1,1,2,1,1,1,4,4,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,4,3,3,3,4,3,4,3,2,3,3,3,3,2,3
154,on-site,0,3,1,2,2,1,11,1,0,0,0,0,0,1,0,1,0,0,0,5,5,1,1,1,3,2,1,1,0,1,2,2,3,1,3,4,2,2,3,4,2,4,3,4,4,4,3,4,3,3,5,4,5,5,4,5,4,4,5,3,5,4,4,4,4
155,on-site,1,2,1,2,1,1,6,1,1,0,0,0,0,1,0,1,0,0,0,1,4,1,0,1,5,1,3,1,0,1,2,3,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,3
156,on-site,0,3,NA,1,2,1,6,1,1,0,0,0,1,0,0,1,1,0,0,5,2,1,1,1,2,5,5,2,1,1,4,3,3,4,5,5,3,NA,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,3,3,5,2,4,4,5,4,5
157,on-site,1,2,1,2,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,5,5,1,0,0,1,1,5,1,1,3,3,2,6,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5
158,on-site,1,1,1,1,1,1,4,0,2,1,0,0,0,0,1,0,0,0,0,2,3,0,1,0,2,2,5,1,1,3,1,2,1,1,2,4,3,1,5,3,4,3,4,2,4,3,4,2,2,2,3,4,4,4,4,4,3,5,2,5,4,3,1,3,1
159,on-site,0,1,1,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,1,5,5,1,0,1,4,1,3,1,1,2,4,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4,3,4,3,4,3,3,2,3
160,on-site,1,2,1,1,3,1,3,0,1,1,0,0,1,0,1,0,0,0,0,3,1,0,0,1,2,2,5,1,1,3,2,2,1,4,4,5,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,5,1,1,2,2,2
161,on-site,0,2,1,1,2,1,4,0,1,1,0,0,0,0,1,0,0,0,0,5,5,0,0,1,3,2,4,1,1,2,3,1,6,3,3,3,3,2,3,3,3,3,4,3,2,3,4,2,2,2,3,4,3,4,3,3,3,4,4,3,2,2,3,2,3
162,on-site,0,2,1,1,3,1,8,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,1,1,1,4,1,1,2,1,3,1,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3,3
163,on-site,1,4,0,3,3,0,3,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,5,1,1,3,3,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3
164,on-site,0,3,1,3,3,0,1,1,2,0,0,0,0,1,1,0,0,0,0,5,5,1,1,1,3,2,4,1,1,2,3,2,3,3,4,4,4,3,3,3,4,3,4,3,5,3,3,5,5,3,4,3,3,3,4,4,4,5,4,4,3,2,2,2,2
165,on-site,1,1,1,1,2,1,5,0,1,0,0,0,0,1,0,0,1,0,0,5,5,1,1,1,1,1,3,1,1,2,1,2,1,2,3,4,4,2,3,3,4,3,3,3,4,2,2,3,3,3,3,3,2,3,4,4,2,3,3,4,3,3,2,3,3
166,on-site,1,3,1,3,1,1,5,1,2,0,0,0,1,0,0,0,1,0,0,5,5,0,0,1,2,1,5,1,1,3,2,2,2,3,4,4,5,3,3,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,5,5,4,5,3,3,4,3,3
167,on-site,0,3,0,4,3,1,3,1,2,1,0,0,0,0,1,0,0,0,0,2,3,1,1,1,5,5,5,1,1,3,4,2,5,4,4,4,4,3,4,4,4,4,4,3,5,5,3,5,5,3,5,5,5,5,4,4,3,4,3,2,3,3,3,5,3
168,on-site,1,3,0,3,3,0,3,1,2,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,4,5,5,1,1,2,3,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3
169,on-site,0,4,0,5,4,0,3,1,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,3,5,3,1,3,2,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,4,3,3,5,3,3
170,on-site,0,3,0,3,4,0,4,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,5,5,1,1,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3
171,on-site,0,3,0,4,4,1,4,1,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,5,5,4,2,0,1,4,3,6,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,5,5,4,4,3,2
172,on-site,1,3,0,3,2,0,3,1,2,1,0,0,0,0,1,0,0,0,0,5,5,0,0,1,3,2,5,1,1,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,3,3,5,5,3,3,5
173,on-site,0,4,1,4,3,0,5,1,2,1,0,0,0,0,1,0,0,0,0,5,1,0,1,1,3,3,5,1,1,3,3,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1
174,on-site,1,4,1,3,3,0,5,1,1,1,0,0,0,0,1,0,0,0,0,5,1,0,0,1,3,4,5,1,1,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4
175,on-site,0,3,0,3,3,1,4,1,2,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,5,5,5,2,1,2,1,1,1,4,3,2,4,4,4,4,2,2,3,3,4,3,2,4,4,2,5,4,4,4,5,4,4,3,4,4,3,4,4,4,2
176,on-site,1,5,0,2,3,1,4,1,2,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,5,5,4,1,1,2,4,3,5,4,5,5,5,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,3,4,5,4,3,4,4,4,4,4
177,on-site,0,1,0,1,1,1,4,0,2,1,0,0,0,0,0,1,0,0,0,1,2,1,1,1,5,5,5,1,1,2,1,1,6,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,4,1
178,on-site,0,2,0,2,3,1,6,1,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,4,5,1,1,2,4,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,5
179,on-site,1,3,0,4,3,1,6,1,3,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,4,5,2,1,2,2,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,1
180,on-site,1,2,1,2,3,1,5,0,1,0,1,0,0,0,0,1,0,0,0,5,5,0,0,1,5,1,3,2,1,2,4,3,6,4,4,5,5,5,4,4,5,4,4,5,5,4,4,3,4,3,5,4,3,3,5,4,4,5,4,3,1,2,4,3,3
181,on-site,1,2,0,4,3,1,3,1,1,0,0,0,0,1,0,1,0,0,1,1,2,1,1,1,5,4,5,2,1,3,4,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,3
182,on-site,1,1,0,1,2,1,5,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2,1,4,1,1,3,2,1,6,4,4,4,4,4,4,4,4,4,2,2,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
183,on-site,1,2,0,1,3,1,5,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,4,1,1,3,2,1,6,4,4,4,4,4,4,4,4,4,2,2,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3
184,on-site,0,2,0,3,4,1,5,1,1,1,0,0,0,1,0,0,1,0,0,1,2,0,1,0,5,1,5,1,1,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
185,on-site,0,2,0,3,3,0,4,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2,3,5,1,1,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,3,3,3,2
186,on-site,1,3,0,5,3,0,3,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,1,4,4,4,2,1,2,3,2,6,4,5,5,5,4,4,5,5,4,4,4,5,5,5,2,2,3,5,4,4,4,4,3,3,4,4,3,3,2,4,3,3
187,on-site,0,3,0,4,4,0,1,1,2,1,0,0,0,0,1,0,0,0,0,2,2,0,0,1,5,5,4,2,1,3,3,2,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,3,2,2,3,3,1
188,on-site,1,2,0,2,3,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,4,3,5,2,1,3,4,2,3,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,3,3,2,3,3
189,on-site,0,3,0,5,3,0,3,1,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,4,3,5,1,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,2,3,2,3
190,on-site,1,2,0,1,3,1,3,0,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,4,1,1,3,4,3,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
191,on-site,0,2,0,1,3,1,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,4,2,5,1,1,3,4,3,2,4,4,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3
192,on-site,0,1,0,2,2,1,4,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,1,4,1,1,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3
193,on-site,0,3,1,4,4,0,2,1,1,1,0,0,0,0,1,0,0,0,0,2,1,0,1,0,3,5,2,1,0,1,4,2,1,4,3,4,4,3,4,4,4,4,3,3,3,1,3,2,2,2,3,3,3,3,4,3,5,4,4,2,1,2,2,2,1
194,on-site,0,2,0,2,3,1,5,1,2,0,1,0,0,0,0,1,0,0,0,5,1,0,0,1,4,5,4,2,1,2,4,3,4,4,5,4,4,2,2,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,3
195,on-site,0,3,0,3,3,0,5,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,4,5,3,1,1,3,4,3,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,5,3,2,2,3
196,on-site,1,2,1,3,3,0,5,1,1,1,0,0,0,0,1,0,0,0,0,5,1,0,0,1,2,3,5,1,1,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
197,on-site,0,2,0,2,2,0,8,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,3,5,5,1,1,2,2,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5
198,on-site,0,3,1,5,1,1,6,1,3,1,0,0,0,0,1,0,0,0,0,2,1,1,0,1,2,3,5,2,1,2,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
199,on-site,1,3,0,3,2,0,4,1,1,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,5,4,5,1,1,2,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,2,2,3,3
200,on-site,0,3,1,3,3,1,3,1,2,1,0,0,0,0,1,0,0,0,0,5,1,0,0,1,4,5,5,2,1,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
201,on-site,0,3,0,3,4,1,3,1,2,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,4,4,4,1,0,2,4,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2
202,on-site,1,2,0,3,3,1,4,1,1,1,0,0,0,0,1,0,0,0,0,5,5,0,0,1,5,5,3,1,0,2,4,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,4,4,5,1,1,1,1,1
203,on-site,0,4,0,5,2,1,4,1,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,1,2,2,3,1,1,3,4,3,2,3,3,4,4,3,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,2,3,2,3,3,1
204,on-site,1,2,1,2,3,1,6,0,1,1,0,0,0,0,1,0,0,0,0,5,5,0,0,1,4,4,3,1,1,3,3,2,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,1,1,2,1,1
